concept	property	prop_count	pos_tag	is_only_adj
cadmium	poisonous	16	[('poisonous', 'JJ')]	True
xenon	heavy	207	[('heavy', 'JJ')]	True
meoh	protic	9	[('protic', 'JJ')]	True
vinegar	organic	355	[('organic', 'JJ')]	True
vascular endothelial growth factor	trophic	10	[('trophic', 'JJ')]	True
body size	biological	197	[('biological', 'JJ')]	True
airtel	private	142	[('private', 'JJ')]	True
sealant	viscous	14	[('viscous', 'JJ')]	True
glass	synthetic	126	[('synthetic', 'JJ')]	True
shape	desirable	29	[('desirable', 'JJ')]	True
amazon	multinational	53	[('multinational', 'JJ')]	True
collagen	adhesive	9	[('adhesive', 'JJ')]	True
health	traditional	682	[('traditional', 'JJ')]	True
silica fume	industrial	201	[('industrial', 'JJ')]	True
laminin	structural	156	[('structural', 'JJ')]	True
outlook	popular	467	[('popular', 'JJ')]	True
boxes	graphical	34	[('graphical', 'JJ')]	True
computed tomography	ancillary	99	[('ancillary', 'JJ')]	True
esperanto	artificial	61	[('artificial', 'JJ')]	True
social security number	basic	667	[('basic', 'JJ')]	True
gdnf	neurotrophic	12	[('neurotrophic', 'JJ')]	True
harvard university	prestigious	27	[('prestigious', 'JJ')]	True
low income	socioeconomic	32	[('socioeconomic', 'JJ')]	True
motion	visual	96	[('visual', 'JJ')]	True
vitamin a	dietary	96	[('dietary', 'JJ')]	True
google	social	388	[('social', 'JJ')]	True
window	external	443	[('external', 'JJ')]	True
sonar	practical	121	[('practical', 'JJ')]	True
spice	natural	709	[('natural', 'JJ')]	True
adobe acrobat	free	99	[('free', 'JJ')]	True
clay	porous	73	[('porous', 'JJ')]	True
bristol	urban	75	[('urban', 'JJ')]	True
chlorite	hydrous	7	[('hydrous', 'JJ')]	True
cash	traditional	682	[('traditional', 'JJ')]	True
wire cutter	basic	667	[('basic', 'JJ')]	True
sanitary towel	disposable	41	[('disposable', 'JJ')]	True
song	creative	64	[('creative', 'JJ')]	True
compressibility	physical	686	[('physical', 'JJ')]	True
electron	elementary	17	[('elementary', 'JJ')]	True
congestive heart failure	serious	276	[('serious', 'JJ')]	True
ultrasound	advanced	233	[('advanced', 'JJ')]	True
nail biting	nervous	9	[('nervous', 'JJ')]	True
solar	renewable	60	[('renewable', 'JJ')]	True
heart failure	pathophysiological	17	[('pathophysiological', 'JJ')]	True
length	continuous	45	[('continuous', 'JJ')]	True
tax	monetary	20	[('monetary', 'JJ')]	True
sand	potential	99	[('potential', 'JJ')]	True
jewellery	loose	68	[('loose', 'JJ')]	True
cost	essential	297	[('essential', 'JJ')]	True
labor	conventional	429	[('conventional', 'JJ')]	True
laser	aesthetic	20	[('aesthetic', 'JJ')]	True
law	institutional	48	[('institutional', 'JJ')]	True
bedding	heavy	207	[('heavy', 'JJ')]	True
retail sale	economic	142	[('economic', 'JJ')]	True
electronic	personal	635	[('personal', 'JJ')]	True
rage	strong	145	[('strong', 'JJ')]	True
calcium	extractable	6	[('extractable', 'JJ')]	True
textile	industrial	201	[('industrial', 'JJ')]	True
integrity	personal	635	[('personal', 'JJ')]	True
air pollution	external	443	[('external', 'JJ')]	True
rent	basic	667	[('basic', 'JJ')]	True
bar	commercial	172	[('commercial', 'JJ')]	True
labrador retrievers	large	852	[('large', 'JJ')]	True
age	essential	297	[('essential', 'JJ')]	True
blog	technological	54	[('technological', 'JJ')]	True
glass	unusual	32	[('unusual', 'JJ')]	True
papaya	exotic	119	[('exotic', 'JJ')]	True
locker	accessible	9	[('accessible', 'JJ')]	True
phenolic	natural	709	[('natural', 'JJ')]	True
description	traditional	682	[('traditional', 'JJ')]	True
bitumen	problematic	5	[('problematic', 'JJ')]	True
television set	electrical	163	[('electrical', 'JJ')]	True
television	technological	54	[('technological', 'JJ')]	True
globalization	contemporary	73	[('contemporary', 'JJ')]	True
rehearsal dinner	formal	60	[('formal', 'JJ')]	True
bird	domestic	82	[('domestic', 'JJ')]	True
flatware	small	653	[('small', 'JJ')]	True
notepad	great	178	[('great', 'JJ')]	True
tachycardia	severe	151	[('severe', 'JJ')]	True
muscular dystrophy	medical	456	[('medical', 'JJ')]	True
wicker	porous	73	[('porous', 'JJ')]	True
pfizer	large	852	[('large', 'JJ')]	True
language barrier	practical	121	[('practical', 'JJ')]	True
radio station	local	332	[('local', 'JJ')]	True
endocarditis	serious	276	[('serious', 'JJ')]	True
security	financial	212	[('financial', 'JJ')]	True
dizziness	unpleasant	41	[('unpleasant', 'JJ')]	True
photo	flat	39	[('flat', 'JJ')]	True
video	rich	58	[('rich', 'JJ')]	True
ceramic	porous	73	[('porous', 'JJ')]	True
barclays	international	277	[('international', 'JJ')]	True
vitamin a	powerful	50	[('powerful', 'JJ')]	True
cardiovascular disease	clinical	183	[('clinical', 'JJ')]	True
lock	movable	11	[('movable', 'JJ')]	True
interpersonal skill	personal	635	[('personal', 'JJ')]	True
norway	northern	42	[('northern', 'JJ')]	True
dallas	urban	75	[('urban', 'JJ')]	True
steel	conventional	429	[('conventional', 'JJ')]	True
microhardness	mechanical	187	[('mechanical', 'JJ')]	True
correlation	textural	12	[('textural', 'JJ')]	True
agar	natural	709	[('natural', 'JJ')]	True
sarcoidosis	systemic	124	[('systemic', 'JJ')]	True
tea	non-alcoholic	6	[('non-alcoholic', 'JJ')]	True
citibank	global financial	6	[('global', 'JJ'), ('financial', 'JJ')]	True
mass	continuous	45	[('continuous', 'JJ')]	True
lime	natural	709	[('natural', 'JJ')]	True
general electric	large	852	[('large', 'JJ')]	True
lithium	active	130	[('active', 'JJ')]	True
fish	biological	197	[('biological', 'JJ')]	True
age	sociodemographic	28	[('sociodemographic', 'JJ')]	True
west africa	tropical	70	[('tropical', 'JJ')]	True
hcl	protic	9	[('protic', 'JJ')]	True
real estate foreclosure	low	51	[('low', 'JJ')]	True
histamine	natural	709	[('natural', 'JJ')]	True
compressor	ancillary	99	[('ancillary', 'JJ')]	True
acetazolamide	oral	110	[('oral', 'JJ')]	True
vest	promotional	68	[('promotional', 'JJ')]	True
lipid	organic	355	[('organic', 'JJ')]	True
answering phone	administrative	93	[('administrative', 'JJ')]	True
histone	basic	667	[('basic', 'JJ')]	True
porch	architectural	54	[('architectural', 'JJ')]	True
high blood pressure	systemic	124	[('systemic', 'JJ')]	True
caustic soda	strong	145	[('strong', 'JJ')]	True
hatred	strong	145	[('strong', 'JJ')]	True
hiking	social	388	[('social', 'JJ')]	True
titanium nitride	hard	160	[('hard', 'JJ')]	True
tesco	retail	43	[('retail', 'JJ')]	True
water absorption	functional	143	[('functional', 'JJ')]	True
chest pain	common	802	[('common', 'JJ')]	True
herpes simplex	viral	54	[('viral', 'JJ')]	True
praise	social	388	[('social', 'JJ')]	True
ammonia	flammable	80	[('flammable', 'JJ')]	True
catholicism	popular	467	[('popular', 'JJ')]	True
pencil	hard	160	[('hard', 'JJ')]	True
salinity	ecological	39	[('ecological', 'JJ')]	True
soul	musical	86	[('musical', 'JJ')]	True
stomach upset	physical	686	[('physical', 'JJ')]	True
shame	moral	26	[('moral', 'JJ')]	True
class	demographic	126	[('demographic', 'JJ')]	True
transistor	critical	172	[('critical', 'JJ')]	True
texting	dangerous	53	[('dangerous', 'JJ')]	True
cut	superficial	14	[('superficial', 'JJ')]	True
stirring rate	effective	18	[('effective', 'JJ')]	True
sport	common	802	[('common', 'JJ')]	True
morphine	strong	145	[('strong', 'JJ')]	True
cryotherapy	focal	5	[('focal', 'JJ')]	True
age	continuous	45	[('continuous', 'JJ')]	True
heat capacity	physical	686	[('physical', 'JJ')]	True
glass	industrial	201	[('industrial', 'JJ')]	True
age at diagnosis	continuous	45	[('continuous', 'JJ')]	True
flickr	popular social	7	[('popular', 'JJ'), ('social', 'JJ')]	True
trade receivable	financial	212	[('financial', 'JJ')]	True
b1	essential	297	[('essential', 'JJ')]	True
aerosol	dangerous	53	[('dangerous', 'JJ')]	True
onyx	semi-precious	9	[('semi-precious', 'JJ')]	True
lime	essential	297	[('essential', 'JJ')]	True
raytheon	large	852	[('large', 'JJ')]	True
hyundai	global	202	[('global', 'JJ')]	True
new york city	urban	75	[('urban', 'JJ')]	True
australia	national	122	[('national', 'JJ')]	True
flexural strength	composite	23	[('composite', 'JJ')]	True
broken glass	sharp	49	[('sharp', 'JJ')]	True
nylon	thermoplastic	33	[('thermoplastic', 'JJ')]	True
lactobacillus acidophilus	probiotic	16	[('probiotic', 'JJ')]	True
cash	physical	686	[('physical', 'JJ')]	True
amorphous silicon	suitable	205	[('suitable', 'JJ')]	True
rsa	complex	256	[('complex', 'JJ')]	True
individual bankruptcy	terrible	24	[('terrible', 'JJ')]	True
contact information	critical	172	[('critical', 'JJ')]	True
tachycardia	potential	99	[('potential', 'JJ')]	True
lily	native	76	[('native', 'JJ')]	True
fedex	reliable	7	[('reliable', 'JJ')]	True
technical report	technical	122	[('technical', 'JJ')]	True
capacitor	electrical	163	[('electrical', 'JJ')]	True
marriage	religious	51	[('religious', 'JJ')]	True
theft	unusual	32	[('unusual', 'JJ')]	True
basketball	extra-curricular	13	[('extra-curricular', 'JJ')]	True
sport utility vehicle	large	852	[('large', 'JJ')]	True
human rights watch	non-governmental	5	[('non-governmental', 'JJ')]	True
competition	biotic	17	[('biotic', 'JJ')]	True
warranty	commercial	172	[('commercial', 'JJ')]	True
heart attack	serious medical	10	[('serious', 'JJ'), ('medical', 'JJ')]	True
mastercard	international	277	[('international', 'JJ')]	True
headache	physical	686	[('physical', 'JJ')]	True
organic acid	organic	355	[('organic', 'JJ')]	True
heart	serious	276	[('serious', 'JJ')]	True
dolphin	modern	309	[('modern', 'JJ')]	True
amide	organic	355	[('organic', 'JJ')]	True
trademark	proprietary	14	[('proprietary', 'JJ')]	True
bordeaux	french	14	[('french', 'JJ')]	True
chemical precipitation	physicochemical	72	[('physicochemical', 'JJ')]	True
drill	portable	91	[('portable', 'JJ')]	True
computer	durable	64	[('durable', 'JJ')]	True
viscosity	environmental	592	[('environmental', 'JJ')]	True
lamp	electric	41	[('electric', 'JJ')]	True
real estate foreclosure	negative	109	[('negative', 'JJ')]	True
tall building	flexible	48	[('flexible', 'JJ')]	True
chocolate	american	86	[('american', 'JJ')]	True
extra virgin olive oil	unrefined	14	[('unrefined', 'JJ')]	True
lavender	edible	49	[('edible', 'JJ')]	True
monte carlo simulation	statistical	99	[('statistical', 'JJ')]	True
embarrassment	secondary	180	[('secondary', 'JJ')]	True
income	sociodemographic	28	[('sociodemographic', 'JJ')]	True
grapeseed	natural	709	[('natural', 'JJ')]	True
depreciation	actual	19	[('actual', 'JJ')]	True
reading	fundamental	87	[('fundamental', 'JJ')]	True
density	intensive	11	[('intensive', 'JJ')]	True
raspberry	small	653	[('small', 'JJ')]	True
nitrogen	aggressive	32	[('aggressive', 'JJ')]	True
paver	hard	160	[('hard', 'JJ')]	True
air	hot	59	[('hot', 'JJ')]	True
dexamethasone	cortic	9	[('cortic', 'JJ')]	True
leds	electronic	281	[('electronic', 'JJ')]	True
arthropod	complex	256	[('complex', 'JJ')]	True
document	physical	686	[('physical', 'JJ')]	True
neurosurgery	complex	256	[('complex', 'JJ')]	True
monetary policy	macroeconomic	33	[('macroeconomic', 'JJ')]	True
smart phone	personal electronic	21	[('personal', 'JJ'), ('electronic', 'JJ')]	True
busulfan	chemotherapeutic	33	[('chemotherapeutic', 'JJ')]	True
volcanic eruption	catastrophic	30	[('catastrophic', 'JJ')]	True
mango	tropical	70	[('tropical', 'JJ')]	True
badminton	recreational	163	[('recreational', 'JJ')]	True
discovery	instructional	22	[('instructional', 'JJ')]	True
occupation	sociodemographic	28	[('sociodemographic', 'JJ')]	True
long sleeved shirt	comfortable	14	[('comfortable', 'JJ')]	True
gel	heavy	207	[('heavy', 'JJ')]	True
epithelial cell	structural	156	[('structural', 'JJ')]	True
irony	rhetorical	7	[('rhetorical', 'JJ')]	True
silicon	conventional	429	[('conventional', 'JJ')]	True
senior	demographic	126	[('demographic', 'JJ')]	True
chicken pox	viral	54	[('viral', 'JJ')]	True
metal	flexible	48	[('flexible', 'JJ')]	True
muffin	prepared	13	[('prepared', 'JJ')]	True
message	personal	635	[('personal', 'JJ')]	True
budget	organizational	46	[('organizational', 'JJ')]	True
label	graphical	34	[('graphical', 'JJ')]	True
xvid	popular	467	[('popular', 'JJ')]	True
jaguar	large	852	[('large', 'JJ')]	True
dislocation	serious	276	[('serious', 'JJ')]	True
broadcast	traditional	682	[('traditional', 'JJ')]	True
skateboard	recreational	163	[('recreational', 'JJ')]	True
maple	domestic	82	[('domestic', 'JJ')]	True
blizzard	severe	151	[('severe', 'JJ')]	True
twitter	free	99	[('free', 'JJ')]	True
ethoxy	functional	143	[('functional', 'JJ')]	True
environmental policy	social	388	[('social', 'JJ')]	True
prodigy	commercial	172	[('commercial', 'JJ')]	True
sadness	difficult	49	[('difficult', 'JJ')]	True
music player	modern	309	[('modern', 'JJ')]	True
dip	great	178	[('great', 'JJ')]	True
electronic mail address	personal	635	[('personal', 'JJ')]	True
minimum tillage	agricultural	114	[('agricultural', 'JJ')]	True
leaf	combustible	79	[('combustible', 'JJ')]	True
light bulb	influential	23	[('influential', 'JJ')]	True
bmi	traditional	682	[('traditional', 'JJ')]	True
reading	basic	667	[('basic', 'JJ')]	True
arial	professional	165	[('professional', 'JJ')]	True
huntington s disease	neurodegenerative	22	[('neurodegenerative', 'JJ')]	True
fatigue	environmental	592	[('environmental', 'JJ')]	True
cockatoo	exotic	119	[('exotic', 'JJ')]	True
variable	powerful	50	[('powerful', 'JJ')]	True
urine testing	adequate medical	7	[('adequate', 'JJ'), ('medical', 'JJ')]	True
christmas	religious	51	[('religious', 'JJ')]	True
altitude	external	443	[('external', 'JJ')]	True
newspaper	traditional	682	[('traditional', 'JJ')]	True
redox potential	environmental	592	[('environmental', 'JJ')]	True
aldehyde	functional	143	[('functional', 'JJ')]	True
ferry	commercial	172	[('commercial', 'JJ')]	True
glass	smooth flat	6	[('smooth', 'JJ'), ('flat', 'JJ')]	True
weight loss	conservative	33	[('conservative', 'JJ')]	True
bmw	notable	42	[('notable', 'JJ')]	True
nausea	neurological	68	[('neurological', 'JJ')]	True
building	static	33	[('static', 'JJ')]	True
driver s license number	sensitive	195	[('sensitive', 'JJ')]	True
bacterial infection	environmental	592	[('environmental', 'JJ')]	True
potato	white	65	[('white', 'JJ')]	True
version	detailed	63	[('detailed', 'JJ')]	True
occupational therapist	medical	456	[('medical', 'JJ')]	True
mood swing	unpleasant	41	[('unpleasant', 'JJ')]	True
petroleum	industrial	201	[('industrial', 'JJ')]	True
bond length	structural	156	[('structural', 'JJ')]	True
formaldehyde	unhealthy	32	[('unhealthy', 'JJ')]	True
hopelessness	psychological	106	[('psychological', 'JJ')]	True
pain	local	332	[('local', 'JJ')]	True
health	great	178	[('great', 'JJ')]	True
opening	mathematical	54	[('mathematical', 'JJ')]	True
boiler	domestic	82	[('domestic', 'JJ')]	True
ph	independent	50	[('independent', 'JJ')]	True
china	high	125	[('high', 'JJ')]	True
octane	aliphatic	53	[('aliphatic', 'JJ')]	True
antler	natural	709	[('natural', 'JJ')]	True
muscular dystrophy	serious	276	[('serious', 'JJ')]	True
somnolence	neurological	68	[('neurological', 'JJ')]	True
high	extreme environmental	8	[('extreme', 'JJ'), ('environmental', 'JJ')]	True
bacteremia	nosocomial	5	[('nosocomial', 'JJ')]	True
clearance	promotional	68	[('promotional', 'JJ')]	True
precipitation	external	443	[('external', 'JJ')]	True
vomiting	non-specific	8	[('non-specific', 'JJ')]	True
environmental defense fund	environmental	592	[('environmental', 'JJ')]	True
adipic acid	organic	355	[('organic', 'JJ')]	True
macy s	traditional	682	[('traditional', 'JJ')]	True
lip	facial	25	[('facial', 'JJ')]	True
insulin	large	852	[('large', 'JJ')]	True
bumper sticker	promotional	68	[('promotional', 'JJ')]	True
chlorophyll	natural	709	[('natural', 'JJ')]	True
scanner	common	802	[('common', 'JJ')]	True
shortness of breath	physical	686	[('physical', 'JJ')]	True
detergent	common	802	[('common', 'JJ')]	True
magnesium	rich	58	[('rich', 'JJ')]	True
kate spade	popular	467	[('popular', 'JJ')]	True
professor	academic	69	[('academic', 'JJ')]	True
steak	american	86	[('american', 'JJ')]	True
socialism	political	40	[('political', 'JJ')]	True
switzerland	international	277	[('international', 'JJ')]	True
bronchitis	serious	276	[('serious', 'JJ')]	True
delta air lines	large	852	[('large', 'JJ')]	True
transcript	academic	69	[('academic', 'JJ')]	True
gravel	loose	68	[('loose', 'JJ')]	True
woodpecker	common	802	[('common', 'JJ')]	True
strain	biological	197	[('biological', 'JJ')]	True
running	regular	82	[('regular', 'JJ')]	True
lipases	hydrolytic	15	[('hydrolytic', 'JJ')]	True
wrestling	popular	467	[('popular', 'JJ')]	True
cloud cover	climatic	36	[('climatic', 'JJ')]	True
hamburg	big	266	[('big', 'JJ')]	True
kidnapping	serious	276	[('serious', 'JJ')]	True
masonry	common	802	[('common', 'JJ')]	True
food	global	202	[('global', 'JJ')]	True
artificial limb	prosthetic	7	[('prosthetic', 'JJ')]	True
draft	environmental	592	[('environmental', 'JJ')]	True
ethanol	protic	9	[('protic', 'JJ')]	True
emulsifier	functional	143	[('functional', 'JJ')]	True
dust mask	suitable	205	[('suitable', 'JJ')]	True
application	personal	635	[('personal', 'JJ')]	True
stanford	american	86	[('american', 'JJ')]	True
flavonoid	phytochemical	7	[('phytochemical', 'JJ')]	True
laptop computer	small	653	[('small', 'JJ')]	True
pump	consumable	67	[('consumable', 'JJ')]	True
paypal	safe	7	[('safe', 'JJ')]	True
smartphones	portable	91	[('portable', 'JJ')]	True
bobbi brown	cosmetic	64	[('cosmetic', 'JJ')]	True
asset	traditional	682	[('traditional', 'JJ')]	True
gas station	basic	667	[('basic', 'JJ')]	True
family	cultural	99	[('cultural', 'JJ')]	True
polycarbonate	rigid	25	[('rigid', 'JJ')]	True
water	heavy	207	[('heavy', 'JJ')]	True
volkswagen	automotive	31	[('automotive', 'JJ')]	True
morale	intangible	43	[('intangible', 'JJ')]	True
vitamin c	active	130	[('active', 'JJ')]	True
environment	external	443	[('external', 'JJ')]	True
irritability	behavioural	16	[('behavioural', 'JJ')]	True
boxing	competitive	44	[('competitive', 'JJ')]	True
principal component analysis	classical	92	[('classical', 'JJ')]	True
peppermint	essential	297	[('essential', 'JJ')]	True
telescope	optical	72	[('optical', 'JJ')]	True
dimension	numerical	27	[('numerical', 'JJ')]	True
cut	open	86	[('open', 'JJ')]	True
adenoviruses	viral	54	[('viral', 'JJ')]	True
surgical	clinical	183	[('clinical', 'JJ')]	True
textile	traditional	682	[('traditional', 'JJ')]	True
anthocyanin	powerful	50	[('powerful', 'JJ')]	True
china	traditional	682	[('traditional', 'JJ')]	True
protein	complex	256	[('complex', 'JJ')]	True
speed	operational	69	[('operational', 'JJ')]	True
hydrofluoric acid	strong	145	[('strong', 'JJ')]	True
microprocessor	external	443	[('external', 'JJ')]	True
mayo clinic	medical	456	[('medical', 'JJ')]	True
growth factor	biological	197	[('biological', 'JJ')]	True
food	industrial	201	[('industrial', 'JJ')]	True
pilates	energetic	5	[('energetic', 'JJ')]	True
acquisition	structural	156	[('structural', 'JJ')]	True
storm	stochastic	14	[('stochastic', 'JJ')]	True
ultrasound	noninvasive	12	[('noninvasive', 'JJ')]	True
switch	physical	686	[('physical', 'JJ')]	True
edge	modern	309	[('modern', 'JJ')]	True
electricity	conventional	429	[('conventional', 'JJ')]	True
back to school night	annual	52	[('annual', 'JJ')]	True
disk	peripheral	67	[('peripheral', 'JJ')]	True
bookstore	ancillary	99	[('ancillary', 'JJ')]	True
24 hour fitness center	recreational	163	[('recreational', 'JJ')]	True
tv	traditional	682	[('traditional', 'JJ')]	True
runny nose	viral	54	[('viral', 'JJ')]	True
absenteeism	behavioral	65	[('behavioral', 'JJ')]	True
mango	soft	247	[('soft', 'JJ')]	True
quantity	biotic	17	[('biotic', 'JJ')]	True
google earth	interactive	57	[('interactive', 'JJ')]	True
transistor	real	43	[('real', 'JJ')]	True
shaving	temporary	54	[('temporary', 'JJ')]	True
rosemary	common	802	[('common', 'JJ')]	True
gym	nice	15	[('nice', 'JJ')]	True
sheet	loose	68	[('loose', 'JJ')]	True
shark	aquatic	90	[('aquatic', 'JJ')]	True
concrete	architectural	54	[('architectural', 'JJ')]	True
quality	national	122	[('national', 'JJ')]	True
negotiation	preliminary	7	[('preliminary', 'JJ')]	True
norm	cultural	99	[('cultural', 'JJ')]	True
floor	large	852	[('large', 'JJ')]	True
2 4 d	synthetic	126	[('synthetic', 'JJ')]	True
thermometer	medical	456	[('medical', 'JJ')]	True
beijing	urban	75	[('urban', 'JJ')]	True
tamiflu	antiviral	6	[('antiviral', 'JJ')]	True
argentina	successful	38	[('successful', 'JJ')]	True
atherosclerosis	pathological	80	[('pathological', 'JJ')]	True
weight	potential	99	[('potential', 'JJ')]	True
madhya pradesh	indian	58	[('indian', 'JJ')]	True
retroviral vector	viral	54	[('viral', 'JJ')]	True
wavelet analysis	spectral	11	[('spectral', 'JJ')]	True
soil type	agronomic	22	[('agronomic', 'JJ')]	True
starvation	pathophysiological	17	[('pathophysiological', 'JJ')]	True
tab	graphical	34	[('graphical', 'JJ')]	True
food scrap	organic	355	[('organic', 'JJ')]	True
turnip	green	60	[('green', 'JJ')]	True
nero	musical	86	[('musical', 'JJ')]	True
triethylamine	organic	355	[('organic', 'JJ')]	True
nitrate	secondary	180	[('secondary', 'JJ')]	True
mp3	electronic	281	[('electronic', 'JJ')]	True
social security number	sensitive	195	[('sensitive', 'JJ')]	True
fence	small	653	[('small', 'JJ')]	True
quicken	financial	212	[('financial', 'JJ')]	True
beach volleyball	daily	99	[('daily', 'JJ')]	True
optical	analytical	77	[('analytical', 'JJ')]	True
fly ash	industrial	201	[('industrial', 'JJ')]	True
washing machine	electric	41	[('electric', 'JJ')]	True
paypal	popular	467	[('popular', 'JJ')]	True
fact sheet	educational	56	[('educational', 'JJ')]	True
toyota	successful	38	[('successful', 'JJ')]	True
e mail address	personal	635	[('personal', 'JJ')]	True
hydrophilicity	physical	686	[('physical', 'JJ')]	True
dna damage	cellular	81	[('cellular', 'JJ')]	True
tertiary amine	organic	355	[('organic', 'JJ')]	True
spina bifida	structural	156	[('structural', 'JJ')]	True
preservative	conventional	429	[('conventional', 'JJ')]	True
prison	social	388	[('social', 'JJ')]	True
chromium	residual	12	[('residual', 'JJ')]	True
pastry	sugary	26	[('sugary', 'JJ')]	True
mortgage	monetary	20	[('monetary', 'JJ')]	True
number of employee	rich	58	[('rich', 'JJ')]	True
traffic	unforeseen	24	[('unforeseen', 'JJ')]	True
copyright	legal	102	[('legal', 'JJ')]	True
purchase order	operational	69	[('operational', 'JJ')]	True
obesity	secondary	180	[('secondary', 'JJ')]	True
list boxes	graphical	34	[('graphical', 'JJ')]	True
attitude	psychological	106	[('psychological', 'JJ')]	True
mp3 player	personal electronic	21	[('personal', 'JJ'), ('electronic', 'JJ')]	True
carbon monoxide	flammable	80	[('flammable', 'JJ')]	True
university	liberal	22	[('liberal', 'JJ')]	True
chemical precipitation	conventional	429	[('conventional', 'JJ')]	True
kangaroo	native	76	[('native', 'JJ')]	True
federal bureau of investigation	federal	114	[('federal', 'JJ')]	True
buttock	large	852	[('large', 'JJ')]	True
crossword	interactive	57	[('interactive', 'JJ')]	True
notice	regulatory	41	[('regulatory', 'JJ')]	True
alkaline battery	conventional	429	[('conventional', 'JJ')]	True
paint thinner	volatile	92	[('volatile', 'JJ')]	True
asymmetry	clinical	183	[('clinical', 'JJ')]	True
coca cola	corporate	79	[('corporate', 'JJ')]	True
brain tumor	pathological	80	[('pathological', 'JJ')]	True
ladder	optional	126	[('optional', 'JJ')]	True
wetland	healthy	115	[('healthy', 'JJ')]	True
cytochrome c	soluble	36	[('soluble', 'JJ')]	True
central heating	modern	309	[('modern', 'JJ')]	True
bacon	red	28	[('red', 'JJ')]	True
polycyclic aromatic hydrocarbon	environmental	592	[('environmental', 'JJ')]	True
amyotrophic lateral sclerosis	pathological	80	[('pathological', 'JJ')]	True
tachycardia	clinical	183	[('clinical', 'JJ')]	True
meadow	sensitive	195	[('sensitive', 'JJ')]	True
browser	typical	82	[('typical', 'JJ')]	True
reiki	holistic	13	[('holistic', 'JJ')]	True
fama	empirical	11	[('empirical', 'JJ')]	True
dog	carnivorous	15	[('carnivorous', 'JJ')]	True
alder	deciduous	23	[('deciduous', 'JJ')]	True
neutrophil	professional	165	[('professional', 'JJ')]	True
hypertension	pathological	80	[('pathological', 'JJ')]	True
kiwi	seasonal	75	[('seasonal', 'JJ')]	True
stone	noble	34	[('noble', 'JJ')]	True
equity	contemporary economic	6	[('contemporary', 'JJ'), ('economic', 'JJ')]	True
youtube	global	202	[('global', 'JJ')]	True
discussion	practical	121	[('practical', 'JJ')]	True
lemongrass	essential	297	[('essential', 'JJ')]	True
medical expense	small financial	6	[('small', 'JJ'), ('financial', 'JJ')]	True
infliximab	immunosuppressive	22	[('immunosuppressive', 'JJ')]	True
radio	local	332	[('local', 'JJ')]	True
audit	traditional	682	[('traditional', 'JJ')]	True
production	ecological	39	[('ecological', 'JJ')]	True
anti oxidant	ordinary pharmaceutical	6	[('ordinary', 'JJ'), ('pharmaceutical', 'JJ')]	True
elevator	small	653	[('small', 'JJ')]	True
myocardial infarction	medical	456	[('medical', 'JJ')]	True
ph	critical	172	[('critical', 'JJ')]	True
carnival	temporary	54	[('temporary', 'JJ')]	True
acidity	physical	686	[('physical', 'JJ')]	True
nisin	natural	709	[('natural', 'JJ')]	True
chlamydia	vaginal	13	[('vaginal', 'JJ')]	True
pension fund	private	142	[('private', 'JJ')]	True
battery	external	443	[('external', 'JJ')]	True
fine	criminal	14	[('criminal', 'JJ')]	True
gymnastic	physical	686	[('physical', 'JJ')]	True
inactivity	common	802	[('common', 'JJ')]	True
chemical peel	surgical	58	[('surgical', 'JJ')]	True
bad breath	oral	110	[('oral', 'JJ')]	True
sudan	african	36	[('african', 'JJ')]	True
resolution	basic	667	[('basic', 'JJ')]	True
optical proximity correction	advanced	233	[('advanced', 'JJ')]	True
diet	external	443	[('external', 'JJ')]	True
wall	original	52	[('original', 'JJ')]	True
fifa world cup	huge	10	[('huge', 'JJ')]	True
yorkshire terrier	small	653	[('small', 'JJ')]	True
renal	medical	456	[('medical', 'JJ')]	True
mat	soft	247	[('soft', 'JJ')]	True
autism	neurological	68	[('neurological', 'JJ')]	True
ambien	artificial	61	[('artificial', 'JJ')]	True
pca	traditional	682	[('traditional', 'JJ')]	True
projector	audio visual	16	[('audio', 'JJ'), ('visual', 'JJ')]	True
appreciation	external	443	[('external', 'JJ')]	True
peat	carbonaceous	14	[('carbonaceous', 'JJ')]	True
weight loss	clinical	183	[('clinical', 'JJ')]	True
gravel	soft	247	[('soft', 'JJ')]	True
heart disease	common medical	14	[('common', 'JJ'), ('medical', 'JJ')]	True
blood flow	dynamic	54	[('dynamic', 'JJ')]	True
solar radiation	environmental	592	[('environmental', 'JJ')]	True
bone meal	natural	709	[('natural', 'JJ')]	True
gender	uncontrollable	6	[('uncontrollable', 'JJ')]	True
natural	traumatic	31	[('traumatic', 'JJ')]	True
lead	valuable	127	[('valuable', 'JJ')]	True
galactose	neutral	42	[('neutral', 'JJ')]	True
erythema	cutaneous	10	[('cutaneous', 'JJ')]	True
naproxen	classical	92	[('classical', 'JJ')]	True
psp	popular	467	[('popular', 'JJ')]	True
baby carrot	fresh	148	[('fresh', 'JJ')]	True
laundry	daily	99	[('daily', 'JJ')]	True
methane	combustible	79	[('combustible', 'JJ')]	True
silica	modern	309	[('modern', 'JJ')]	True
whole foods	national	122	[('national', 'JJ')]	True
nature	scientific	55	[('scientific', 'JJ')]	True
cystitis	urinary	14	[('urinary', 'JJ')]	True
northrop grumman	local	332	[('local', 'JJ')]	True
